epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,790.609,2.53757,2.94032,3.20616,0.76979,0.70892,0.73764,0.35174,1.72482,1.80576,2.31124,0.00333082,0.00333082,0.00333082
2,1587.59,1.59082,1.24958,1.98212,0.92027,0.80123,0.86244,0.48683,1.50519,1.18185,1.92371,0.0065322,0.0065322,0.0065322
3,2401.96,1.45708,1.04232,1.81146,0.93485,0.84709,0.91797,0.53791,1.45555,0.93913,1.82827,0.00960158,0.00960158,0.00960158
4,3194.46,1.394,0.9448,1.74037,0.92381,0.8954,0.93274,0.54632,1.44349,0.88352,1.82649,0.009406,0.009406,0.009406
5,3988.16,1.34177,0.85576,1.69051,0.9684,0.89119,0.94733,0.56799,1.43125,0.70148,1.79129,0.009208,0.009208,0.009208
6,4764.62,1.29907,0.80792,1.64871,0.96283,0.91122,0.94929,0.58286,1.37406,0.68809,1.7248,0.00901,0.00901,0.00901
7,5540.55,1.27697,0.77327,1.63425,0.97134,0.91604,0.95862,0.60022,1.32365,0.62898,1.68962,0.008812,0.008812,0.008812
8,6331.94,1.25801,0.74342,1.61469,0.9659,0.91664,0.95229,0.56747,1.42949,0.64018,1.75937,0.008614,0.008614,0.008614
9,7097.14,1.23777,0.7281,1.60089,0.96283,0.9212,0.96017,0.617,1.30263,0.59861,1.66237,0.008416,0.008416,0.008416
10,7859,1.23488,0.69821,1.59473,0.96812,0.92578,0.96507,0.6417,1.23156,0.5708,1.61806,0.008218,0.008218,0.008218
11,8601.69,1.21184,0.67824,1.57642,0.95352,0.92636,0.9632,0.61035,1.31675,0.58487,1.68756,0.00802,0.00802,0.00802
12,9344.18,1.20899,0.67271,1.5708,0.97351,0.92448,0.96581,0.61959,1.30279,0.56249,1.67735,0.007822,0.007822,0.007822
13,10087.2,1.19198,0.65142,1.55977,0.97143,0.92511,0.96656,0.61283,1.31127,0.55355,1.69345,0.007624,0.007624,0.007624
14,10830,1.18147,0.64404,1.55168,0.96306,0.92938,0.96553,0.62393,1.29545,0.54134,1.68037,0.007426,0.007426,0.007426
15,11572.1,1.1785,0.63349,1.5575,0.96648,0.93809,0.96912,0.64583,1.23513,0.51611,1.64537,0.007228,0.007228,0.007228
16,12315.3,1.16984,0.62579,1.54752,0.97611,0.9348,0.9672,0.64162,1.24634,0.5223,1.6292,0.00703,0.00703,0.00703
17,13057.6,1.16435,0.6172,1.53582,0.97322,0.93293,0.96876,0.64543,1.22739,0.50706,1.61104,0.006832,0.006832,0.006832
18,13799.4,1.16003,0.60881,1.53219,0.97524,0.93809,0.97087,0.65197,1.21895,0.49362,1.62215,0.006634,0.006634,0.006634
19,14541.6,1.15001,0.60024,1.52192,0.97329,0.93994,0.97172,0.65859,1.2061,0.48332,1.59996,0.006436,0.006436,0.006436
20,15284.5,1.14493,0.59271,1.51578,0.97555,0.93589,0.9728,0.6592,1.20439,0.48115,1.604,0.006238,0.006238,0.006238
21,16027.1,1.1443,0.58877,1.51398,0.97483,0.93762,0.97029,0.66252,1.18863,0.47514,1.58921,0.00604,0.00604,0.00604
22,16768.9,1.13394,0.57879,1.50616,0.97532,0.94536,0.9728,0.66347,1.19514,0.4676,1.5974,0.005842,0.005842,0.005842
23,17510.7,1.12803,0.57736,1.5012,0.97785,0.93949,0.97263,0.65981,1.20564,0.47076,1.60245,0.005644,0.005644,0.005644
24,18254.1,1.12555,0.57093,1.49842,0.9714,0.94653,0.97406,0.66808,1.17843,0.45902,1.58447,0.005446,0.005446,0.005446
25,18996.7,1.12043,0.56466,1.49433,0.98076,0.94278,0.97387,0.66929,1.1736,0.45937,1.57779,0.005248,0.005248,0.005248
26,19739.9,1.11288,0.56236,1.48933,0.97473,0.94095,0.97542,0.66984,1.17576,0.45699,1.57842,0.00505,0.00505,0.00505
27,20482.6,1.09911,0.55108,1.47695,0.97477,0.94237,0.97569,0.67372,1.16612,0.45009,1.57005,0.004852,0.004852,0.004852
28,21225.8,1.10309,0.54478,1.47728,0.96838,0.95216,0.9764,0.67603,1.16272,0.44469,1.55805,0.004654,0.004654,0.004654
29,21967.6,1.09617,0.54794,1.47149,0.97704,0.94137,0.97569,0.67449,1.16108,0.4427,1.56023,0.004456,0.004456,0.004456
30,22799.3,1.08606,0.53503,1.46867,0.96157,0.95685,0.97787,0.6751,1.16456,0.43914,1.57419,0.004258,0.004258,0.004258
31,23599.2,1.08482,0.53085,1.46742,0.96454,0.95688,0.97758,0.6805,1.15017,0.43406,1.5715,0.00406,0.00406,0.00406
32,24341,1.08185,0.53122,1.4609,0.96768,0.95498,0.97771,0.67942,1.1542,0.43206,1.56526,0.003862,0.003862,0.003862
33,25085.4,1.07595,0.52101,1.45534,0.96793,0.95544,0.97828,0.68156,1.14927,0.43089,1.55987,0.003664,0.003664,0.003664
34,25830.7,1.06818,0.51724,1.44781,0.97186,0.95584,0.97826,0.68095,1.15001,0.42858,1.5649,0.003466,0.003466,0.003466
35,26570.1,1.06884,0.51636,1.44802,0.97233,0.95586,0.97897,0.68459,1.14311,0.42632,1.5588,0.003268,0.003268,0.003268
36,27312,1.05825,0.50864,1.43793,0.97258,0.95685,0.98103,0.6866,1.14043,0.42526,1.55528,0.00307,0.00307,0.00307
37,28054.5,1.0565,0.50588,1.43083,0.97235,0.95638,0.97991,0.6874,1.13725,0.42224,1.55311,0.002872,0.002872,0.002872
38,28797.6,1.04574,0.49793,1.43387,0.9739,0.95779,0.98049,0.68837,1.134,0.42263,1.55488,0.002674,0.002674,0.002674
39,29539.3,1.04089,0.49223,1.42739,0.97393,0.95826,0.97979,0.68729,1.13443,0.42154,1.55586,0.002476,0.002476,0.002476
40,30327.9,1.03853,0.49077,1.42038,0.97486,0.95826,0.98019,0.68825,1.13407,0.41961,1.55661,0.002278,0.002278,0.002278
41,31097.6,1.00196,0.41037,1.44757,0.97519,0.95869,0.9809,0.68903,1.1324,0.41909,1.55945,0.00208,0.00208,0.00208
42,31827.5,0.98904,0.40451,1.43097,0.97581,0.95779,0.98172,0.68979,1.13197,0.41748,1.56036,0.001882,0.001882,0.001882
